index,programa,radio,banda,ciudad,provincia,pais,inicio,duracion,usuario,reproducciones,etiquetas,titulo,descripcion,link
23,la-inmensa-minoria,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T14:07:16+00:00,301,jor11231,30,adorni,Respuesta a Adorni,Sietecasse responde a Adorni,https://radiocut.fm/audiocut/respuesta-a-adorni
24,vuelvan-ideas,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T19:29:39+00:00,156,somosradio,14,"cristian girard, que vuelvan las ideas, somos radio am 530",Declaraciones de Cristian Girard ,"Cristian Girad, Director ejecutivo de ARBA, en #QueVuelvanLasIdeas ",https://radiocut.fm/audiocut/declaraciones-cristian-girard
25,no-se-corte-965, La 965 - Residencias ,FM,Mar del Plata,Buenos Aires,Argentina,2024-08-02T23:24:33+00:00,2874,quenosecorte,14,"artistas independientes, artistas marplatenses, punk","Entrevista a las bandas Jueves, Lost Girasoles, Altos Mutantes y Locover","En Que no se corte, entrevistamos a cuatro bandas a la vez: Lost Girasoles, Jueves, Locover y Altos Mutantes. Nos contaron acerca de la historia de cada banda, los planes a futuro que tienen y también mencionaron una próxima fecha donde las cuatro bandas se presentarán juntas, en una misma noche. ",https://radiocut.fm/audiocut/entrevista-a-bandas-jueves-lost-girasoles-altos-mutantes-y-locover
26,renzis-ayer-y-hoy,Belgrano,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T10:25:47+00:00,1069,EmilioRoman,108,"2001, 7 de agost, aceiteros, argentinazo, arnoldo gomez, ayer y hoy de renzis, cambio, ccc, chaco, conaduh, default, deuda externa usuraria, fnc, miei, napalpi, originario, paro docentes universitarios, pueblo en lucha, san cayetanos, unidad popular",ARGENTINA OCULTA CON ARNOLDO GOMEZ EN AYER Y HOY DE RENZIS,En su columna de los lunes Gómez retoma el balance de lo que lo que significo  y no fue visibilizado suficientemente: la jornada del 7 de agosto en Plaza de Mayo y en toda Nación. Y las múltiples luchas que recorren el país como es la lucha de los aceiteros y la marcha de los originarios que conmociona al Chaco Y que pone en discusión cual es la salida en la Argentina.,https://radiocut.fm/audiocut/argentina-oculta-con-arnoldo-gomez-en-ayer-y-hoy-renzis-7
27,juego-vida-junto-a-vos,META RAMALLO,FM,Provincia Buenos Aires,Buenos Aires,Argentina,2024-08-14T13:43:50+00:00,1133,MetaRamallo,10,,Marisol Aldazabal - docente EET N°2,"Proyecto ""Tapa, tapita, tapón"" (Feria de Ciencias)",https://radiocut.fm/audiocut/marisol-aldazabal-docente-eet-ndeg2
28,la-manana-con-victor-hugo,AM 750,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T12:04:45+00:00,210,RadioAM750,1227,,El editorial de Víctor Hugo Morales,Volvé a escuchar el editorial de VHM por la 750. ,https://radiocut.fm/audiocut/editorial-victor-hugo-morales-9886
29,fuera-tiempo,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T02:25:11+00:00,1897,adondeestamiamiga,20,"claudio katz, coyuntura, economía, izquierda, milei, política",Claudio Katz caracteriza la coyuntura económica y política argentina,"El economista Claudio Katz analiza la actual coyuntura política y económica argentina. Plan económico de Milei, contexto internacional, correlación de fuerzas.  ",https://radiocut.fm/audiocut/claudio-katz-caracteriza-coyuntura-economica-y-politica-argentina
30,jugo-limon,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T23:03:46+00:00,979,somosradio,104,"jugo de limón, sandra russo, somos radio am 530","Editorial de Sandra Russo: ""Y mientras tanto..."" ",Editorial de Sandra Russo en #JugoDeLimón ,https://radiocut.fm/audiocut/editorial-sandra-russo-y-mientras-tanto
31,y-ahora-quien-podra-ayudarno,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T12:46:38+00:00,1047,yorecorto,301,maria o donnell,Maria O Donnell sobre el reportaje en Infobae,"Maria O Donnell y su marido televisivo Tenembaum. Sobre la cobertura de Alberto Fernandez, fabiola, mujeres de visita, etc",https://radiocut.fm/audiocut/maria-o-donnell-sobre-reportaje-en-infobae
32,pase-lo-pase-2,El Destape 1070,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T18:57:24+00:00,269,Pablotomas,15,,Xke la kisieron matar a Cristina ,Magistral explicación de Ubeira ,https://radiocut.fm/audiocut/xke-kisieron-matar-a-cristina
33,panorama-federal_2,Radio Gráfica - Recuperando el aire,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T17:11:14+00:00,1297,RadioGrafica893,42,"artesanos resisten desalojo, caminito, desalojos en caba, feria vuelta de rocha, sistema de ferias artesanales",La cultura resiste el desalojo de las Ferias Artesanales de Vuelta de Rocha,"Pablo Canobio, delegado de la Feria Artesanal Vuelta de Rocha que funciona de jueves a domingo desde hace 40 años en Caminito, barrio de La Boca, conversó con ""Panorama Federal"" sobre el intento de desalojo de ese espacio artístico y cultural por parte del gobierno porteño que encabeza Jorge Macri. ",https://radiocut.fm/audiocut/cultura-resiste-desalojo-ferias-artesanales-vuelta-rocha
